station_id,station_name,latitude,longitude,elevation,date,delta_t,wind_speed,wind_gust,wind_speed_unit,wind_direction
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-22,11.3,6.105,12.67,mph,104.7
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-23,11.2,10.757,19.506,mph,129.8
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-24,9.9,8.65,19.752,mph,135.2
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-25,15,9.292,17.144,mph,155.7
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-26,16.3,12.934,26.217,mph,149.4
138,Arnegard,47.93947,-103.45565,2254,2025-05-01,9.2,13.824,25.098,mph,337
138,Arnegard,47.93947,-103.45565,2254,2025-05-02,17.9,6.961,12.547,mph,219.4
138,Arnegard,47.93947,-103.45565,2254,2025-05-03,25.8,8.265,16.896,mph,163.3
138,Arnegard,47.93947,-103.45565,2254,2025-05-04,29.1,13.097,23.98,mph,194.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-05,12.2,20.982,35.657,mph,5.3
138,Arnegard,47.93947,-103.45565,2254,2025-05-06,14.5,5.067,10.062,mph,357.9
138,Arnegard,47.93947,-103.45565,2254,2025-05-07,19.1,14.891,26.709,mph,165.6
138,Arnegard,47.93947,-103.45565,2254,2025-05-08,24.8,9.769,18.007,mph,293.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-09,21.4,4.543,13.788,mph,152
138,Arnegard,47.93947,-103.45565,2254,2025-05-10,31.4,16.623,31.295,mph,220.5
138,Arnegard,47.93947,-103.45565,2254,2025-05-11,27.3,3.769,10.558,mph,332.2
138,Arnegard,47.93947,-103.45565,2254,2025-05-12,30,6.181,17.144,mph,186.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-13,19.2,12.084,20.49,mph,339.3
138,Arnegard,47.93947,-103.45565,2254,2025-05-14,3,7.733,14.533,mph,354.8
138,Arnegard,47.93947,-103.45565,2254,2025-05-15,0.7,18.924,30.803,mph,328.9
138,Arnegard,47.93947,-103.45565,2254,2025-05-16,7,11.751,21.743,mph,348.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-17,9.7,6.903,16.025,mph,72.63
138,Arnegard,47.93947,-103.45565,2254,2025-05-18,2.7,17.878,29.438,mph,101.4
138,Arnegard,47.93947,-103.45565,2254,2025-05-19,1.9,11.18,20.49,mph,63.23
138,Arnegard,47.93947,-103.45565,2254,2025-05-20,3.4,6.409,12.05,mph,358.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-21,3.4,5.897,11.055,mph,29.79
138,Arnegard,47.93947,-103.45565,2254,2025-05-22,11.2,6.686,11.925,mph,95.7
138,Arnegard,47.93947,-103.45565,2254,2025-05-23,12.7,11.909,21.989,mph,123.9
138,Arnegard,47.93947,-103.45565,2254,2025-05-24,12.5,9.905,17.144,mph,141.4
138,Arnegard,47.93947,-103.45565,2254,2025-05-25,16.3,9.406,18.499,mph,144.6
138,Arnegard,47.93947,-103.45565,2254,2025-05-26,16.4,13.724,22.235,mph,155.3
161,Ayr,47.04639,-97.49481,1215,2025-05-01,5,11.968,21.743,mph,31.14
161,Ayr,47.04639,-97.49481,1215,2025-05-02,10.6,4.686,14.285,mph,323.2
161,Ayr,47.04639,-97.49481,1215,2025-05-03,19.9,8.156,15.529,mph,218
161,Ayr,47.04639,-97.49481,1215,2025-05-04,24.4,15.529,27.581,mph,164.8
161,Ayr,47.04639,-97.49481,1215,2025-05-05,24.8,15.034,29.058,mph,177.1
161,Ayr,47.04639,-97.49481,1215,2025-05-06,17.4,21.586,32.682,mph,26.6
161,Ayr,47.04639,-97.49481,1215,2025-05-07,18.4,5.51,16.148,mph,57.81
161,Ayr,47.04639,-97.49481,1215,2025-05-08,20.5,11.791,20.736,mph,165.6
161,Ayr,47.04639,-97.49481,1215,2025-05-09,19.2,16.426,27.447,mph,6.788
161,Ayr,47.04639,-97.49481,1215,2025-05-10,24.9,20.401,32.547,mph,168.5
161,Ayr,47.04639,-97.49481,1215,2025-05-11,32.5,26.016,39.124,mph,199.9
161,Ayr,47.04639,-97.49481,1215,2025-05-12,30.9,27.671,39.75,mph,188.9
161,Ayr,47.04639,-97.49481,1215,2025-05-13,30.3,22.772,36.529,mph,170.4
161,Ayr,47.04639,-97.49481,1215,2025-05-14,25.5,12.885,25.344,mph,169.4
161,Ayr,47.04639,-97.49481,1215,2025-05-15,14.4,16.674,25.971,mph,115
161,Ayr,47.04639,-97.49481,1215,2025-05-16,1.7,28.946,39.37,mph,335.5
161,Ayr,47.04639,-97.49481,1215,2025-05-17,3.1,14.435,20.49,mph,1.628
161,Ayr,47.04639,-97.49481,1215,2025-05-18,6.9,13.554,21.855,mph,67.77
161,Ayr,47.04639,-97.49481,1215,2025-05-19,7.1,22.28,30.691,mph,87.6
161,Ayr,47.04639,-97.49481,1215,2025-05-20,1.8,9.789,18.499,mph,65.1
161,Ayr,47.04639,-97.49481,1215,2025-05-21,1.8,8.274,11.677,mph,52.22
161,Ayr,47.04639,-97.49481,1215,2025-05-22,14.9,8.078,14.659,mph,15.65
161,Ayr,47.04639,-97.49481,1215,2025-05-23,15.7,9.554,18.142,mph,60.13
161,Ayr,47.04639,-97.49481,1215,2025-05-24,18.7,7.21,17.144,mph,74.43
161,Ayr,47.04639,-97.49481,1215,2025-05-25,21.7,5.999,13.292,mph,239.4
161,Ayr,47.04639,-97.49481,1215,2025-05-26,21.4,8.404,17.764,mph,186.3
9,Baker,48.16713,-99.64839,1703,2025-05-01,15.3,12.261,20.132,mph,11.77
9,Baker,48.16713,-99.64839,1703,2025-05-02,13.5,6.257,11.554,mph,251.9
9,Baker,48.16713,-99.64839,1703,2025-05-03,23.4,8.509,17.019,mph,203.5
