forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T13:00:00Z,2025-10-05T14:00:00Z,8 AM,9 AM,1.8,15,mph,WSW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T14:00:00Z,2025-10-05T15:00:00Z,9 AM,10 AM,1.9,16,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T15:00:00Z,2025-10-05T16:00:00Z,10 AM,11 AM,2.3,17,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T16:00:00Z,2025-10-05T17:00:00Z,11 AM,12 PM,3.1,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T17:00:00Z,2025-10-05T18:00:00Z,12 PM,1 PM,3.9,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T18:00:00Z,2025-10-05T19:00:00Z,1 PM,2 PM,4.6,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T19:00:00Z,2025-10-05T20:00:00Z,2 PM,3 PM,5.2,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T20:00:00Z,2025-10-05T21:00:00Z,3 PM,4 PM,5.8,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T21:00:00Z,2025-10-05T22:00:00Z,4 PM,5 PM,6.1,18,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T22:00:00Z,2025-10-05T23:00:00Z,5 PM,6 PM,6.7,17,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T11:00:00Z,2025-10-06T12:00:00Z,6 AM,7 AM,2.4,7,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T12:00:00Z,2025-10-06T13:00:00Z,7 AM,8 AM,2.3,7,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T13:00:00Z,2025-10-06T14:00:00Z,8 AM,9 AM,2.7,8,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T14:00:00Z,2025-10-06T15:00:00Z,9 AM,10 AM,3.4,9,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T15:00:00Z,2025-10-06T16:00:00Z,10 AM,11 AM,4.4,10,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T16:00:00Z,2025-10-06T17:00:00Z,11 AM,12 PM,5.8,12,mph,WNW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T17:00:00Z,2025-10-06T18:00:00Z,12 PM,1 PM,7.5,13,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T18:00:00Z,2025-10-06T19:00:00Z,1 PM,2 PM,8.7,14,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T19:00:00Z,2025-10-06T20:00:00Z,2 PM,3 PM,9.7,14,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T20:00:00Z,2025-10-06T21:00:00Z,3 PM,4 PM,10.5,14,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T21:00:00Z,2025-10-06T22:00:00Z,4 PM,5 PM,10.7,14,mph,W
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-06,2025-10-06T22:00:00Z,2025-10-06T23:00:00Z,5 PM,6 PM,10.3,13,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T11:00:00Z,2025-10-01T12:00:00Z,6 AM,7 AM,4.7,15,mph,SSE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T12:00:00Z,2025-10-01T13:00:00Z,7 AM,8 AM,4.3,18,mph,SSE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T13:00:00Z,2025-10-01T14:00:00Z,8 AM,9 AM,3,20,mph,SSE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T14:00:00Z,2025-10-01T15:00:00Z,9 AM,10 AM,3.1,20,mph,SSE
