forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-13,2025-09-13T22:00:00Z,2025-09-13T23:00:00Z,4 PM,5 PM,5.4,8,mph,N
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,3 PM,4 PM,9.5,8,mph,W
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,3 PM,4 PM,16.5,9,mph,W
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,2 PM,3 PM,13.5,12,mph,N
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,3 PM,4 PM,10.7,10,mph,N
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,7.8,8,mph,SE
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,7.9,10,mph,ESE
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-14,2025-09-14T20:00:00Z,2025-09-14T21:00:00Z,3 PM,4 PM,13.2,14,mph,SSE
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,12.7,14,mph,S
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,11.6,10,mph,S
hourly,2025-09-12T08:36:32Z,2025-09-12T08:51:32Z,229,America/Chicago,2025-09-17,2025-09-17T20:00:00Z,2025-09-17T21:00:00Z,3 PM,4 PM,7.3,7,mph,S
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-12,2025-09-12T18:00:00Z,2025-09-12T19:00:00Z,1 PM,2 PM,9.1,10,mph,SSE
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,10,5,mph,E
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,13,10,mph,SSE
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-15,2025-09-15T20:00:00Z,2025-09-15T21:00:00Z,3 PM,4 PM,10.4,10,mph,S
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,11.9,5,mph,S
hourly,2025-09-12T08:36:33Z,2025-09-12T08:51:33Z,118,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,8.9,5,mph,S
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,9.7,10,mph,NE
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-13,2025-09-13T22:00:00Z,2025-09-13T23:00:00Z,5 PM,6 PM,2.2,12,mph,E
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,4.8,9,mph,SE
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,9,10,mph,W
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,10.5,12,mph,NW
hourly,2025-09-12T08:36:34Z,2025-09-12T08:51:34Z,56,America/Chicago,2025-09-17,2025-09-17T20:00:00Z,2025-09-17T21:00:00Z,3 PM,4 PM,7.5,9,mph,N
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,11.9,10,mph,E
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-13,2025-09-13T22:00:00Z,2025-09-13T23:00:00Z,5 PM,6 PM,2.3,13,mph,E
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6,10,mph,S
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,10.6,10,mph,W
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,10.9,13,mph,NW
hourly,2025-09-12T08:36:36Z,2025-09-12T08:51:36Z,165,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,9.4,10,mph,N
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,7.6,9,mph,NE
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,4.2,12,mph,E
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6.1,10,mph,SE
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,6.3,10,mph,SW
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,11.1,10,mph,W
hourly,2025-09-12T08:36:38Z,2025-09-12T08:51:38Z,12,America/Chicago,2025-09-17,2025-09-17T22:00:00Z,2025-09-17T23:00:00Z,5 PM,6 PM,7.8,8,mph,N
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,9,8,mph,E
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,2.1,13,mph,E
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,5.4,8,mph,SE
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,8,9,mph,W
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,10.5,13,mph,NW
hourly,2025-09-12T08:36:39Z,2025-09-12T08:51:39Z,58,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,8.2,9,mph,N
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-12,2025-09-12T20:00:00Z,2025-09-12T21:00:00Z,2 PM,3 PM,15.5,10,mph,NE
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,3 PM,4 PM,6,10,mph,E
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,3 PM,4 PM,6.5,10,mph,NW
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,3 PM,4 PM,16.8,10,mph,SW
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,2 PM,3 PM,11.4,13,mph,N
hourly,2025-09-12T08:36:41Z,2025-09-12T08:51:41Z,13,America/Denver,2025-09-17,2025-09-17T20:00:00Z,2025-09-17T21:00:00Z,2 PM,3 PM,9.2,12,mph,N
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,8.6,8,mph,ESE
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,9.1,14,mph,E
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-14,2025-09-14T20:00:00Z,2025-09-14T21:00:00Z,3 PM,4 PM,11.8,16,mph,SSE
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-15,2025-09-15T20:00:00Z,2025-09-15T21:00:00Z,3 PM,4 PM,10.2,17,mph,SSW
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,10.5,10,mph,S
hourly,2025-09-12T08:36:43Z,2025-09-12T08:51:43Z,84,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,6.2,9,mph,ENE
