State,County,FIPS,MapDate,DSCI
ND,Richland County,38077,20250128,200
ND,Richland County,38077,20250204,200
ND,Richland County,38077,20250211,200
ND,Richland County,38077,20250218,200
ND,Richland County,38077,20250225,200
ND,Rolette County,38079,20241231,0
ND,Rolette County,38079,20250107,0
ND,Rolette County,38079,20250114,0
ND,Rolette County,38079,20250121,0
ND,Rolette County,38079,20250128,0
ND,Rolette County,38079,20250204,0
ND,Rolette County,38079,20250211,0
ND,Rolette County,38079,20250218,0
ND,Rolette County,38079,20250225,0
ND,Sargent County,38081,20241231,200
ND,Sargent County,38081,20250107,200
ND,Sargent County,38081,20250114,200
ND,Sargent County,38081,20250121,200
ND,Sargent County,38081,20250128,200
ND,Sargent County,38081,20250204,200
ND,Sargent County,38081,20250211,200
ND,Sargent County,38081,20250218,200
ND,Sargent County,38081,20250225,200
ND,Sheridan County,38083,20241231,23
ND,Sheridan County,38083,20250107,23
ND,Sheridan County,38083,20250114,23
ND,Sheridan County,38083,20250121,23
ND,Sheridan County,38083,20250128,23
ND,Sheridan County,38083,20250204,23
ND,Sheridan County,38083,20250211,23
ND,Sheridan County,38083,20250218,23
ND,Sheridan County,38083,20250225,23
ND,Sioux County,38085,20241231,200
ND,Sioux County,38085,20250107,200
ND,Sioux County,38085,20250114,200
ND,Sioux County,38085,20250121,200
ND,Sioux County,38085,20250128,200
ND,Sioux County,38085,20250204,200
ND,Sioux County,38085,20250211,200
ND,Sioux County,38085,20250218,200
ND,Sioux County,38085,20250225,200
ND,Slope County,38087,20241231,400
ND,Slope County,38087,20250107,400
ND,Slope County,38087,20250114,400
ND,Slope County,38087,20250121,400
ND,Slope County,38087,20250128,300
ND,Slope County,38087,20250204,300
ND,Slope County,38087,20250211,300
ND,Slope County,38087,20250218,300
ND,Slope County,38087,20250225,300
ND,Stark County,38089,20241231,328
ND,Stark County,38089,20250107,328
ND,Stark County,38089,20250114,328
ND,Stark County,38089,20250121,328
ND,Stark County,38089,20250128,293
ND,Stark County,38089,20250204,293
ND,Stark County,38089,20250211,293
ND,Stark County,38089,20250218,293
ND,Stark County,38089,20250225,293
ND,Steele County,38091,20241231,75
ND,Steele County,38091,20250107,75
ND,Steele County,38091,20250114,75
ND,Steele County,38091,20250121,75
ND,Steele County,38091,20250128,75
ND,Steele County,38091,20250204,75
ND,Steele County,38091,20250211,75
ND,Steele County,38091,20250218,75
ND,Steele County,38091,20250225,75
ND,Stutsman County,38093,20241231,25
ND,Stutsman County,38093,20250107,25
ND,Stutsman County,38093,20250114,25
ND,Stutsman County,38093,20250121,25
ND,Stutsman County,38093,20250128,25
ND,Stutsman County,38093,20250204,25
ND,Stutsman County,38093,20250211,25
ND,Stutsman County,38093,20250218,25
ND,Stutsman County,38093,20250225,25
ND,Towner County,38095,20241231,0
ND,Towner County,38095,20250107,0
ND,Towner County,38095,20250114,0
ND,Towner County,38095,20250121,0
ND,Towner County,38095,20250128,0
ND,Towner County,38095,20250204,0
ND,Towner County,38095,20250211,0
ND,Towner County,38095,20250218,0
ND,Towner County,38095,20250225,0
ND,Traill County,38097,20241231,134
ND,Traill County,38097,20250107,134
ND,Traill County,38097,20250114,134
ND,Traill County,38097,20250121,134
ND,Traill County,38097,20250128,134
ND,Traill County,38097,20250204,134
ND,Traill County,38097,20250211,134
ND,Traill County,38097,20250218,134
ND,Traill County,38097,20250225,134
ND,Walsh County,38099,20241231,0
ND,Walsh County,38099,20250107,0
ND,Walsh County,38099,20250114,0
ND,Walsh County,38099,20250121,0
ND,Walsh County,38099,20250128,0
ND,Walsh County,38099,20250204,0
ND,Walsh County,38099,20250211,0
ND,Walsh County,38099,20250218,0
ND,Walsh County,38099,20250225,0
ND,Ward County,38101,20241231,137
ND,Ward County,38101,20250107,137
ND,Ward County,38101,20250114,137
ND,Ward County,38101,20250121,137
ND,Ward County,38101,20250128,137
ND,Ward County,38101,20250204,137
ND,Ward County,38101,20250211,137
ND,Ward County,38101,20250218,137
ND,Ward County,38101,20250225,137
ND,Wells County,38103,20241231,0
ND,Wells County,38103,20250107,0
ND,Wells County,38103,20250114,0
ND,Wells County,38103,20250121,0
ND,Wells County,38103,20250128,0
ND,Wells County,38103,20250204,0
ND,Wells County,38103,20250211,0
ND,Wells County,38103,20250218,0
ND,Wells County,38103,20250225,0
ND,Williams County,38105,20241231,301
ND,Williams County,38105,20250107,301
ND,Williams County,38105,20250114,301
ND,Williams County,38105,20250121,301
ND,Williams County,38105,20250128,293
ND,Williams County,38105,20250204,293
ND,Williams County,38105,20250211,293
ND,Williams County,38105,20250218,293
ND,Williams County,38105,20250225,269
