MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250204,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,14.47,0.00,2025-01-21,2025-01-27,1
20250114,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,14.47,0.00,2025-01-14,2025-01-20,1
20250107,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,14.47,0.00,2025-01-07,2025-01-13,1
20241231,38041,Hettinger County,ND,0.00,100.00,100.00,56.80,14.47,0.00,2024-12-31,2025-01-06,1
20250225,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38043,Kidder County,ND,90.61,9.39,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38045,LaMoure County,ND,0.00,100.00,94.27,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38047,Logan County,ND,13.94,86.06,53.17,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38049,McHenry County,ND,83.84,16.16,1.13,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38051,McIntosh County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38053,McKenzie County,ND,0.00,100.00,100.00,99.71,84.88,0.00,2025-02-25,2025-03-03,1
20250218,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,84.88,0.00,2025-02-18,2025-02-24,1
20250211,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,84.88,0.00,2025-02-11,2025-02-17,1
20250204,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,84.88,0.00,2025-02-04,2025-02-10,1
20250128,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,84.88,0.00,2025-01-28,2025-02-03,1
20250121,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,88.62,0.00,2025-01-21,2025-01-27,1
20250114,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,88.62,0.00,2025-01-14,2025-01-20,1
20250107,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,88.62,0.00,2025-01-07,2025-01-13,1
20241231,38053,McKenzie County,ND,0.00,100.00,100.00,100.00,88.62,0.00,2024-12-31,2025-01-06,1
20250225,38055,McLean County,ND,47.78,52.22,43.24,0.75,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38055,McLean County,ND,47.78,52.22,43.24,0.75,0.00,0.00,2025-02-18,2025-02-24,1
